id,track_name,track_artist,track_album_name,track_album_release_date,track_popularity,tempo,loudness,danceability
92,Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),1994-03-09,0.25,0.34997474794710176,0.8516177845030932,0.25385527876631075
93,Black Magic Woman - Single Version,Santana,Santana's Greatest Hits,1994-07-01,0.0625,0.46789871744511585,0.6530775735457742,0.41874258600237246
94,Fly Away,Lenny Kravitz,5,1998-05-12,0.15625,0.6897239732390592,0.8584494191997865,0.5349940688018979
95,Message In A Bottle,The Police,Reggatta De Blanc (Remastered 2003),1979-10-02,0.21875,0.6341258113391073,0.8145222306288665,0.5231316725978646
96,Heroes - 2017 Remaster,David Bowie,"""Heroes"" (2017 Remaster)",1977,0.125,0.391612577392866,0.8267390627086209,0.41874258600237246
97,Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),1970,0.21875,0.396750279019597,0.7471405046953581,0.5077105575326215
98,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,1977,0.25,0.8009577074877015,0.7474520450398328,0.29893238434163705
99,Back In Black,AC/DC,Back In Black,1980-07-25,0.46875,0.8671804368293399,0.8448306555698963,0.2064056939501779
100,Barracuda,Heart,Little Queen,1977-05-14,0.1875,0.5476889695291898,0.6695892118029285,0.4887307236061684
101,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,1972-05-19,0.34375,0.5441412119738378,0.768258489474387,0.5516014234875444
102,Heart-Shaped Box,Nirvana,In Utero (Deluxe Edition),1993-09-21,0.34375,0.9583372302550772,0.742356135119498,0.1423487544483986
103,Life in the Fast Lane - 2013 Remaster,Eagles,Hotel California (2013 Remaster),1976-12-08,0.0,0.37553855458496227,0.8099381369887401,0.6298932384341637
104,Africa,TOTO,Toto IV,1982-04-08,0.46875,0.27068330184620576,0.5692064622368598,0.6346381969157769
105,(Don't Fear) The Reaper,Blue Öyster Cult,Agents Of Fortune,1976,0.21875,0.5746307276955789,0.7809203791891051,0.23368920521945433
106,1979 - Remastered 2012,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness (Deluxe Edition),1995,0.28125,0.48367969173790254,0.750945747474298,0.7485172004744958
107,Comfortably Numb,Pink Floyd,The Wall,1979-11-30,0.09375,0.4854504529781836,0.6909074725176911,0.39857651245551595
108,Black Dog - Remaster,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1971-11-08,0.03125,0.2000773149273926,0.7966754194668211,0.3570581257413997
109,No One Knows,Queens of the Stone Age,Songs For The Deaf,2002-01-01,0.03125,0.7551049674840853,0.861987627397748,0.4424673784104388
110,Long Train Runnin',The Doobie Brothers,The Captain and Me,1973,0.03125,0.4245711827313369,0.8092928034180427,0.520759193357058
111,Loser,Beck,Mellow Gold,1994-03-01,0.03125,0.22497396856275304,0.738639903867551,0.6144721233689205
112,American Pie,Don McLean,American Pie,1971,0.1875,0.5558444473541462,0.7106235257465843,0.4661921708185053
113,Roxanne,The Police,Outlandos D'Amour (Remastered 2003),1978-11-02,0.28125,0.5287904578415419,0.7730206061684989,0.5717674970344009
114,My Sharona,The Knack,Get The Knack,1979-01-01,0.03125,0.6106632249053829,0.7584894743869331,0.5338078291814946
115,Walk On the Wild Side,Lou Reed,Transformer,1972-12-01,0.1875,0.3442821246640854,0.5989140593706885,0.520759193357058
